number_flights,origin_fips,dest_fips
264,42045,48201
264,18097,12095
265,26163,48201
265,48201,26163
265,36081,29189
265,29189,36081
266,47163,13063
267,13063,47163
267,48201,55079
267,12011,48201
267,55079,48201
268,29189,24003
268,40109,48113
268,51107,37183
268,37183,51107
269,08031,34013
269,51107,32003
269,21015,47037
269,24003,21111
269,21111,24003
269,48201,12011
270,36029,34013
270,41029,41051
270,41051,41029
271,32003,51107
271,48113,40109
272,34013,08031
273,51710,24003
273,53021,49035
273,06099,06081
274,34013,06081
274,12095,09003
275,09003,12095
275,39049,24003
275,34013,36029
275,51087,34013
275,51107,39035
275,36081,36055
275,39035,37119
275,49035,53021
276,36055,36081
276,34013,51087
276,22033,48201
276,48439,48303
276,39035,51107
276,41051,41039
277,48201,22033
277,24003,39049
277,41039,41051
277,37183,47037
277,37119,39035
277,48303,48439
278,24003,29189
278,55079,08031
278,24003,51710
278,39049,34013
278,29077,48439
278,08031,30031
279,48439,12086
279,02090,02020
279,51107,48201
279,12086,48439
279,34013,47037
279,37119,51710
279,34013,39049
279,51087,37119
279,51013,48201
280,37129,13063
280,06071,06081
280,12095,47037
280,48439,29077
280,47037,34013
280,37119,51087
280,13063,37129
281,47037,12095
281,06081,06099
281,13063,22017
281,19153,08031
281,22017,13063
281,06037,06029
281,37119,09003
281,09003,37119
282,06081,06071
282,06029,06037
282,42003,34013
283,30031,08031
283,34013,48439
283,45063,17031
283,49035,04019
283,04019,49035
283,48439,34013
284,42045,21015
284,20173,08031
284,12057,47037
284,32031,49035
284,47037,12057
284,47037,37183
284,06081,06079
284,04013,06019
284,08041,48201
284,06019,04013
284,48201,08041
284,06079,06081
284,21015,42045
285,46099,17031
285,48201,51013
285,12057,34013
285,34013,12057
285,17031,46099
286,12086,42045
286,48215,48201
286,42045,12086
286,06083,04013
286,40109,04013
286,04013,06083
287,30029,49035
287,17031,36055
287,08031,20173
287,48201,48215
287,49035,32031
287,32007,49035
288,34013,42003
288,36055,17031
288,22051,17031
289,13063,40143
289,49035,32007
289,49035,30029
289,04013,04005
289,36119,13063
289,40143,13063
289,13063,36119
289,04005,04013
290,18097,37119
290,17161,17031
290,51107,45063
290,13063,47009
290,25025,21015
291,17031,26077
291,49035,06073
291,06073,49035
291,26077,17031
291,41017,41051
291,31055,13063
291,13063,31055
292,04013,40109
292,17031,21067
292,47009,13063
293,12095,51013
293,41051,41017
293,21067,17031
293,51013,12095
293,06089,06081
293,17031,36067
293,18097,08031
293,08031,56025
293,56025,08031
293,08031,18097
293,17031,12086
294,12086,17031
295,06081,06089
296,06037,34013
296,34013,06037
296,04013,06065
296,06065,04013
296,16001,08031
296,21015,25025
296,15003,06081
296,06081,15003
296,08031,16001
296,25025,08031
296,17031,06067
297,06067,17031
298,13063,42043
298,42043,13063
298,32003,37119
299,16077,49035
299,12009,13063
299,36081,51087
299,29189,08031
299,51710,17031
299,13063,12009
300,06081,16001
300,37119,32003
300,12095,33011
300,04027,04013
300,04013,04027
300,49035,16077
300,33011,12095
300,16001,06081
301,49035,27053
302,27053,32003
302,22017,48439
302,26163,29189
302,32003,27053
303,50007,36081
303,48439,22017
303,36081,50007
303,27053,49035
304,06071,49035
304,36071,13063
304,21015,42003
304,42003,21015
305,36081,04013
306,04013,36081
306,51087,36081
306,48439,06073
306,12057,51107
306,12099,34013
306,06073,48439
306,51107,12057
307,51107,26163
307,49035,06071
307,34013,12099
307,26163,51107
308,13063,36071
309,29189,26163
309,12071,17031
309,48439,40143
309,40143,48439
310,17031,12071
310,02020,02090
310,48439,05119
310,04013,34013
310,34013,04013
310,08085,08031
310,05119,48439
311,08031,08085
311,28047,48201
312,41051,06085
312,12031,36081
312,06081,48439
312,06085,41051
312,48439,06081
312,08031,08107
