FIPS,# Population
01001,55869.0
01003,223234.0
01005,24686.0
01007,22394.0
01009,57826.0
01011,10101.0
01013,19448.0
01015,113605.0
01017,33254.0
01019,26196.0
01021,44428.0
01023,12589.0
01025,23622.0
01027,13235.0
01029,14910.0
01031,52342.0
01033,55241.0
01035,12067.0
01037,10663.0
01039,37049.0
01041,13772.0
01043,83768.0
01045,49172.0
01047,37196.0
01049,71513.0
01051,81209.0
01053,36633.0
01055,102268.0
01057,16302.0
01059,31362.0
01061,26271.0
01063,8111.0
01065,14651.0
01067,17205.0
01069,105882.0
01071,51626.0
01073,658573.0
01075,13805.0
01077,92729.0
01079,32924.0
01081,164542.0
01083,98915.0
01085,9726.0
01087,18068.0
01089,372909.0
01091,18863.0
01093,29709.0
01095,96774.0
01097,413210.0
01099,20733.0
01101,226486.0
01103,119679.0
01105,8923.0
01107,19930.0
01109,33114.0
01111,22722.0
01113,57961.0
01115,89512.0
01117,217702.0
01119,12427.0
01121,79978.0
01123,40367.0
01125,209355.0
01127,63521.0
01129,16326.0
01131,10373.0
01133,23629.0
02013,3337.0
02016,5634.0
02020,288000.0
02050,18386.0
02060,836.0
02068,2097.0
02070,4916.0
02090,96849.0
02100,2530.0
02105,2148.0
02110,31974.0
02122,58708.0
02130,13901.0
02150,12998.0
02158,8314.0
02164,1592.0
02170,108317.0
02180,10004.0
02185,9832.0
02188,7621.0
02195,3266.0
02198,6203.0
02220,8493.0
02230,1183.0
02240,6893.0
02261,9202.0
02275,2502.0
02282,579.0
02290,5230.0
04001,71887.0
04003,125922.0
04005,143476.0
04007,54018.0
04009,38837.0
04011,9498.0
04012,21108.0
04013,4485414.0
04015,212181.0
04017,110924.0
04019,1047279.0
04021,462789.0
04023,46498.0
04025,235099.0
04027,213787.0
05001,17486.0
05003,19657.0
05005,41932.0
05007,279141.0
05009,37432.0
05011,10763.0
05013,5189.0
05015,28380.0
05017,10118.0
05019,22320.0
05021,14551.0
05023,24919.0
05025,7956.0
05027,23457.0
05029,20846.0
05031,110332.0
05033,63257.0
05035,47955.0
05037,16419.0
05039,7009.0
05041,11361.0
05043,18219.0
05045,126007.0
05047,17715.0
05049,12477.0
05051,99386.0
05053,18265.0
05055,45325.0
05057,21532.0
05059,33771.0
05061,13202.0
05063,37825.0
05065,13629.0
05067,16719.0
05069,66824.0
05071,26578.0
05073,6624.0
05075,16406.0
05077,8857.0
05079,13024.0
05081,12259.0
05083,21466.0
05085,73309.0
05087,16576.0
05089,16694.0
05091,43257.0
05093,40651.0
05095,6701.0
05097,8986.0
05099,8252.0
05101,7753.0
05103,23382.0
05105,10455.0
05107,17782.0
05109,10718.0
05111,23528.0
05113,19964.0
05115,64072.0
05117,8062.0
05119,391911.0
05121,17958.0
05123,24994.0
05125,122437.0
05127,10281.0
05129,7881.0
05131,127827.0
05133,17007.0
05135,17442.0
05137,12506.0
05139,38682.0
05141,16545.0
05143,239187.0
05145,78753.0
05147,6320.0
05149,21341.0
06001,1671329.0
06003,1129.0
06005,39752.0
06007,219186.0
06009,45905.0
06011,21547.0
06013,1153526.0
06015,27812.0
06017,192843.0
06019,999101.0
06021,28393.0
06023,135558.0
06025,181215.0
06027,18039.0
06029,900202.0
06031,152940.0
06033,64386.0
06035,30573.0
06037,10039107.0
06039,157327.0
06041,258826.0
06043,17203.0
06045,86749.0
06047,277680.0
06049,8841.0
06051,14444.0
06053,434061.0
06055,137744.0
06057,99755.0
06059,3175692.0
06061,398329.0
06063,18807.0
06065,2470546.0
06067,1552058.0
06069,62808.0
06071,2180085.0
06073,3338330.0
06075,881549.0
06077,762148.0
06079,283111.0
06081,766573.0
06083,446499.0
06085,1927852.0
06087,273213.0
06089,180080.0
06091,3005.0
06093,43539.0
06095,447643.0
06097,494336.0
06099,550660.0
06101,96971.0
06103,65084.0
06105,12285.0
06107,466195.0
06109,54478.0
06111,846006.0
06113,220500.0
06115,78668.0
08001,517421.0
08003,16233.0
08005,656590.0
08007,14029.0
08009,3581.0
08011,5577.0
08013,326196.0
08014,70465.0
08015,20356.0
08017,1831.0
08019,9700.0
08021,8205.0
08023,3887.0
08025,6061.0
08027,5068.0
08029,31162.0
08031,727211.0
08033,2055.0
08035,351154.0
08037,55127.0
08039,26729.0
08041,720403.0
08043,47839.0
08045,60061.0
08047,6243.0
08049,15734.0
08051,17462.0
08053,820.0
08055,6897.0
08057,1392.0
08059,582881.0
08061,1406.0
08063,7097.0
08065,8127.0
08067,56221.0
08069,356899.0
08071,14506.0
08073,5701.0
08075,22409.0
08077,154210.0
08079,769.0
08081,13283.0
08083,26183.0
08085,42758.0
08087,29068.0
08089,18278.0
08091,4952.0
08093,18845.0
08095,4265.0
08097,17767.0
08099,12172.0
08101,168424.0
08103,6324.0
08105,11267.0
08107,25638.0
08109,6824.0
08111,728.0
08113,8179.0
08115,2248.0
08117,31011.0
08119,25388.0
08121,4908.0
08123,324492.0
08125,10019.0
09001,943332.0
09003,891720.0
09005,180333.0
09007,162436.0
09009,854757.0
09011,265206.0
09013,150721.0
09015,116782.0
10001,180786.0
10003,558753.0
10005,234225.0
1001,55869.0
1005,24686.0
1007,22394.0
1009,57826.0
1011,10101.0
1013,19448.0
1015,113605.0
1017,33254.0
1021,44428.0
1023,12589.0
1025,23622.0
1027,13235.0
1031,52342.0
1033,55241.0
1035,12067.0
1037,10663.0
1039,37049.0
1041,13772.0
1045,49172.0
1047,37196.0
1049,71513.0
1051,81209.0
1053,36633.0
1055,102268.0
1061,26271.0
1063,8111.0
1065,14651.0
1067,17205.0
1069,105882.0
1071,51626.0
1073,658573.0
1075,13805.0
1077,92729.0
1079,32924.0
1083,98915.0
1085,9726.0
1087,18068.0
1089,372909.0
1091,18863.0
1095,96774.0
1097,413210.0
1099,20733.0
11001,705749.0
1101,226486.0
1103,119679.0
1109,33114.0
1111,22722.0
1113,57961.0
1115,89512.0
1117,217702.0
1119,12427.0
1121,79978.0
1125,209355.0
1129,16326.0
12001,269043.0
12003,29210.0
12005,174705.0
12007,28201.0
12009,601942.0
12011,1952778.0
12013,14105.0
12015,188910.0
12017,149657.0
12019,219252.0
12021,384902.0
12023,71686.0
12027,38001.0
12029,16826.0
12031,957755.0
12033,318316.0
12035,115081.0
12037,12125.0
12039,45660.0
12041,18582.0
12043,13811.0
12045,13639.0
12047,14428.0
12049,26937.0
12051,42022.0
12053,193920.0
12055,106221.0
12057,1471968.0
12059,19617.0
12061,159923.0
12063,46414.0
12065,14246.0
12067,8422.0
12069,367118.0
12071,770577.0
12073,293582.0
12075,41503.0
12077,8354.0
12079,18493.0
12081,403253.0
12083,365579.0
12085,161000.0
12086,2716940.0
12087,74228.0
12089,88625.0
12091,210738.0
12093,42168.0
12095,1393452.0
12097,375751.0
12099,1496770.0
12101,553947.0
12103,974996.0
12105,724777.0
12107,74521.0
12109,264672.0
12111,328297.0
12113,184313.0
12115,433742.0
12117,471826.0
12119,132420.0
12121,44417.0
12123,21569.0
12125,15237.0
12127,553284.0
12129,33739.0
12131,74071.0
12133,25473.0
13001,18386.0
13003,8165.0
13005,11164.0
13007,3038.0
13009,44890.0
13011,19234.0
13013,83240.0
13015,107738.0
13017,16700.0
13019,19397.0
13021,153159.0
13023,12873.0
13025,19109.0
13027,15457.0
13029,39627.0
13031,79608.0
13033,22383.0
13035,24936.0
13037,6189.0
13039,54666.0
13043,10803.0
13045,119992.0
13047,67580.0
13049,13392.0
13051,289430.0
13053,10907.0
13055,24789.0
13057,258773.0
13059,128331.0
13061,2834.0
13063,292256.0
13065,6618.0
13067,760141.0
13069,43273.0
13071,45600.0
13073,156714.0
13075,17270.0
13077,148509.0
13079,12404.0
13081,22372.0
13083,16116.0
13085,26108.0
13087,26404.0
13089,759297.0
13091,20605.0
13093,13390.0
13095,87956.0
13097,146343.0
13099,10190.0
13101,4006.0
13103,64296.0
13105,19194.0
13107,22646.0
13109,10654.0
13111,26188.0
13113,114421.0
13115,98498.0
13117,244252.0
13119,23349.0
13121,1063937.0
13123,31369.0
13125,2971.0
13127,85292.0
13129,57963.0
13131,24633.0
13133,18324.0
13135,936250.0
13137,45328.0
13139,204441.0
13141,8457.0
13143,29792.0
13145,35236.0
13147,26205.0
13149,11923.0
13151,234561.0
13153,157863.0
13155,9416.0
13157,72977.0
13159,14219.0
13161,15115.0
13163,15362.0
13165,8676.0
13167,9643.0
13169,28735.0
13171,19077.0
13173,10423.0
13175,47546.0
13177,29992.0
13179,61435.0
13181,7921.0
13183,19559.0
13185,117406.0
13187,33610.0
13189,21312.0
13191,14378.0
13193,12947.0
13195,29880.0
13197,8359.0
13199,21167.0
13201,5718.0
13205,21863.0
13207,27578.0
13209,9172.0
13211,19276.0
13213,40096.0
13215,195769.0
13217,111744.0
13219,40280.0
13221,15259.0
13223,168667.0
13225,27546.0
13227,32591.0
13229,19465.0
13231,18962.0
13233,42613.0
13235,11137.0
13237,22119.0
13239,2299.0
13241,17137.0
13243,6778.0
13245,202518.0
13247,90896.0
13249,5257.0
13251,13966.0
13253,8090.0
13255,66703.0
13257,25925.0
13259,6621.0
13261,29524.0
13263,6195.0
13265,1537.0
13267,25286.0
13269,8020.0
13271,15860.0
13273,8531.0
13275,44451.0
13277,40644.0
13279,26830.0
13281,12037.0
13283,6901.0
13285,69922.0
13287,7985.0
13289,8120.0
13291,24511.0
13293,26320.0
13295,69761.0
13297,94593.0
13299,35734.0
13301,5254.0
13303,20374.0
13305,29927.0
13307,2607.0
13309,7855.0
13311,30798.0
13313,104628.0
13315,8635.0
13317,9777.0
13319,8954.0
13321,20247.0
15001,201513.0
15003,974563.0
15005,86.0
15007,72293.0
15009,167417.0
16001,481587.0
16003,4294.0
16005,87808.0
16007,6125.0
16009,9298.0
16011,46811.0
16013,23021.0
16015,7831.0
16017,45739.0
16019,119062.0
16021,12245.0
16023,2597.0
16025,1106.0
16027,229849.0
16029,7155.0
16031,24030.0
16033,845.0
16035,8756.0
16037,4315.0
16039,27511.0
16041,13876.0
16043,13099.0
16045,18112.0
16047,15179.0
16049,16667.0
16051,29871.0
16053,24412.0
16055,165697.0
16057,40108.0
16059,8027.0
16061,3838.0
16063,5366.0
16065,39907.0
16067,21039.0
16069,40408.0
16071,4531.0
16073,11823.0
16075,23951.0
16077,7681.0
16079,12882.0
16081,12142.0
16083,86878.0
16085,11392.0
16087,10194.0
17001,65435.0
17003,5761.0
17005,16426.0
17007,53544.0
17009,6578.0
17011,32628.0
17013,4739.0
17015,14305.0
17017,12147.0
17019,209689.0
17021,32304.0
17023,15441.0
17025,13184.0
17027,37562.0
17029,50621.0
17031,5150233.0
17033,18667.0
17035,10766.0
17037,104897.0
17039,15638.0
17041,19465.0
17043,922921.0
17045,17161.0
17047,6395.0
17049,34008.0
17051,21336.0
17053,12961.0
17055,38469.0
17057,34340.0
17059,4828.0
17061,12969.0
17063,51054.0
17065,8116.0
17067,17708.0
17069,3821.0
17071,6646.0
17073,48913.0
17075,27114.0
17077,56750.0
17079,9610.0
17081,37684.0
17083,21773.0
17085,21235.0
17087,12417.0
17089,532403.0
17091,109862.0
17093,128990.0
17095,49699.0
17097,696535.0
17099,108669.0
17101,15678.0
17103,34096.0
17105,35648.0
17107,28618.0
17109,29682.0
17111,307774.0
17113,171517.0
17115,104009.0
17117,44926.0
17119,262966.0
17121,37205.0
17123,11438.0
17125,13359.0
17127,13772.0
17129,12196.0
17131,15437.0
17133,34637.0
17135,28414.0
17137,33658.0
17139,14501.0
17141,50643.0
17143,179179.0
17145,20916.0
17147,16344.0
17149,15561.0
17151,4177.0
17153,5335.0
17155,5739.0
17157,31782.0
17159,15513.0
17161,141879.0
17163,259686.0
17165,23491.0
17167,194672.0
17169,6768.0
17171,4951.0
17173,21634.0
17175,5342.0
17177,44498.0
17179,131803.0
17181,16653.0
17183,75758.0
17185,11520.0
17187,16844.0
17189,13887.0
17191,16215.0
17193,13537.0
17195,55175.0
17197,690743.0
17199,66597.0
17201,282572.0
17203,38459.0
18001,35777.0
18003,379299.0
18005,83779.0
18007,8748.0
18009,11758.0
18011,67843.0
18013,15092.0
18015,20257.0
18017,37689.0
18019,118302.0
18021,26225.0
18023,32399.0
18025,10577.0
18027,33351.0
18029,49458.0
18031,26559.0
18033,43475.0
18035,114135.0
18037,42736.0
18039,206341.0
18041,23102.0
18043,78522.0
18045,16346.0
18047,22758.0
18049,19974.0
18051,33659.0
18053,65769.0
18055,31922.0
18057,338011.0
18059,78168.0
18061,40515.0
18063,170311.0
18065,47972.0
18067,82544.0
18069,36520.0
18071,44231.0
18073,33562.0
18075,20436.0
18077,32308.0
18079,27735.0
18081,158167.0
18083,36594.0
18085,79456.0
18087,39614.0
18089,485493.0
18091,109888.0
18093,45370.0
18095,129569.0
18097,964582.0
18099,46258.0
18101,10255.0
18103,35516.0
18105,148431.0
18107,38338.0
18109,70489.0
18111,13984.0
18113,47744.0
18115,5875.0
18117,19646.0
18119,20799.0
18121,16937.0
18123,19169.0
18125,12389.0
18127,170389.0
18129,25427.0
18131,12353.0
18133,37576.0
18135,24665.0
18137,28324.0
18139,16581.0
18141,271826.0
18143,23873.0
18145,44729.0
18147,20277.0
18149,22995.0
18151,34594.0
18153,20669.0
18155,10751.0
18157,195732.0
18159,15148.0
18161,7054.0
18163,181451.0
18165,15498.0
18167,107038.0
18169,30996.0
18171,8265.0
18173,62998.0
18175,28036.0
18177,65884.0
18179,28296.0
18181,24102.0
18183,33964.0
19001,7152.0
19003,3602.0
19005,13687.0
19007,12426.0
19009,5496.0
19011,25645.0
19013,131228.0
19015,26234.0
19017,25062.0
19019,21175.0
19021,19620.0
19023,14439.0
19025,9668.0
19027,20165.0
19029,12836.0
19031,18627.0
19033,42450.0
19035,11235.0
19037,11933.0
19039,9395.0
19041,16016.0
19043,17549.0
19045,46429.0
19047,16820.0
19049,93453.0
19051,9000.0
19053,7870.0
19055,17011.0
19057,38967.0
19059,17258.0
19061,97311.0
19063,9208.0
19065,19650.0
19067,15642.0
19069,10070.0
19071,6960.0
19073,8888.0
19075,12232.0
19077,10689.0
19079,14773.0
19081,10630.0
19083,16846.0
19085,14049.0
19087,19954.0
19089,9158.0
19091,9558.0
19093,6860.0
19095,16184.0
19097,19439.0
19099,37185.0
19101,18295.0
19103,151140.0
19105,20681.0
19107,10246.0
19109,14813.0
19111,33657.0
19113,226706.0
19115,11035.0
19117,8600.0
19119,11755.0
19121,16338.0
19123,22095.0
19125,33253.0
19127,39369.0
19129,15109.0
19131,10586.0
19133,8615.0
19135,7707.0
19137,9917.0
19139,42664.0
19141,13753.0
19143,5958.0
19145,15107.0
19147,8886.0
19149,25177.0
19151,6619.0
19153,490161.0
19155,93206.0
19157,18504.0
19159,4894.0
19161,9721.0
19163,172943.0
19165,11454.0
19167,34855.0
19169,97117.0
19171,16854.0
19173,6121.0
19175,12241.0
19177,7044.0
19179,34969.0
19181,51466.0
19183,21965.0
19185,6441.0
19187,35904.0
19189,10354.0
19191,19991.0
19193,103107.0
19195,7381.0
19197,12562.0
20001,12369.0
20003,7858.0
20005,16073.0
20007,4427.0
20009,25779.0
20011,14534.0
20013,9564.0
20015,66911.0
20017,2648.0
20019,3250.0
20021,19939.0
20023,2657.0
20025,1994.0
20027,8002.0
20029,8786.0
20031,8179.0
20033,1700.0
20035,34908.0
20037,38818.0
20039,2827.0
20041,18466.0
20043,7600.0
20045,122259.0
20047,2798.0
20049,2530.0
20051,28553.0
20053,6102.0
20055,36467.0
20057,33619.0
20059,25544.0
20061,31670.0
20063,2636.0
20065,2482.0
20067,7150.0
20069,5988.0
20071,1232.0
20073,5982.0
20075,2539.0
20077,5436.0
20079,34429.0
20081,3968.0
20083,1794.0
20085,13171.0
20087,19043.0
20089,2879.0
20091,602401.0
20093,3838.0
20095,7152.0
20097,2475.0
20099,19618.0
20101,1535.0
20103,81758.0
20105,2962.0
20107,9703.0
20109,2794.0
20111,33195.0
20113,28542.0
20115,11884.0
20117,9707.0
20119,4033.0
20121,34237.0
20123,5979.0
20125,31829.0
20127,5620.0
20129,2587.0
2013,3337.0
20131,10231.0
20133,16007.0
20135,2750.0
20137,5361.0
20139,15949.0
20141,3421.0
20143,5704.0
20145,6414.0
20147,5234.0
20149,24383.0
20151,9164.0
20153,2530.0
20155,61998.0
20157,4636.0
20159,9537.0
2016,5634.0
20161,74232.0
20163,4920.0
20165,3036.0
20167,6856.0
20169,54224.0
20171,4823.0
20173,516042.0
20175,21428.0
20177,176875.0
20179,2521.0
20181,5917.0
20183,3583.0
20185,4156.0
20187,2006.0
20189,5485.0
20191,22836.0
20193,7777.0
20195,2803.0
20197,6931.0
20199,1518.0
2020,288000.0
20201,5406.0
20203,2119.0
20205,8525.0
20207,3138.0
20209,165429.0
2060,836.0
2068,2097.0
2100,2530.0
21001,19202.0
21003,21315.0
21005,22747.0
21007,7888.0
21009,44249.0
21011,12500.0
21013,26032.0
21015,133581.0
21017,19788.0
21019,46718.0
21021,30060.0
21023,8303.0
21025,12630.0
21027,20477.0
21029,81676.0
21031,12879.0
21033,12747.0
21035,39001.0
21037,93584.0
21039,4760.0
21041,10631.0
21043,26797.0
21045,16159.0
21047,70461.0
21049,36263.0
2105,2148.0
21051,19901.0
21053,10218.0
21055,8806.0
21057,6614.0
21059,101511.0
21061,12150.0
21063,7517.0
21065,14106.0
21067,323152.0
21069,14581.0
21071,35589.0
21073,50991.0
21075,5969.0
21077,8869.0
21079,17666.0
21081,25069.0
21083,37266.0
21085,26427.0
21087,10941.0
21089,35098.0
21091,8722.0
21093,110958.0
21095,26010.0
21097,18886.0
21099,19035.0
2110,31974.0
21101,45210.0
21103,16126.0
21105,4380.0
21107,44686.0
21109,13329.0
21111,766757.0
21113,54115.0
21115,22188.0
21117,166998.0
21119,14806.0
21121,31145.0
21123,14398.0
21125,60813.0
21127,15317.0
21129,7403.0
21131,9877.0
21133,21553.0
21135,13275.0
21137,24549.0
21139,9194.0
21141,27102.0
21143,8210.0
21145,65418.0
21147,17231.0
21149,9207.0
21151,92987.0
21153,12161.0
21155,19273.0
21157,31100.0
21159,11195.0
21161,17070.0
21163,28572.0
21165,6489.0
21167,21933.0
21169,10071.0
21171,10650.0
21173,28157.0
21175,13309.0
21177,30622.0
21179,46233.0
21181,7269.0
21183,23994.0
21185,66799.0
21187,10901.0
21189,4415.0
21191,14590.0
21193,25758.0
21195,57876.0
21197,12359.0
21199,64979.0
21201,2108.0
21203,16695.0
21205,24460.0
21207,17923.0
21209,57004.0
21211,49024.0
21213,18572.0
21215,19351.0
21217,25769.0
21219,12294.0
21221,14651.0
21223,8471.0
21225,14381.0
21227,132896.0
21229,12095.0
21231,20333.0
21233,12942.0
21235,36264.0
21237,7157.0
21239,26734.0
2130,13901.0
2150,12998.0
2158,8314.0
2164,1592.0
2170,108317.0
2180,10004.0
2185,9832.0
2188,7621.0
2195,3266.0
2198,6203.0
22001,62045.0
22003,25627.0
22005,126604.0
22007,21891.0
22009,40144.0
22011,37497.0
22013,13241.0
22015,127039.0
22017,240204.0
22019,203436.0
22021,9918.0
22023,6973.0
